"","Año","Mes","Estado","Superficie Sembrada (ha)","Superficie cosechada (ha)","Producción obtenida (ton)"
"3139",2015,"Agosto","NAYARIT","0","0","0"
"6313",2015,"Septiembre","CAMPECHE","19220","0","0"
"6413",2015,"Septiembre","COAHUILA","316","0","0"
"6513",2015,"Septiembre","CHIAPAS","13323","396","945"
"6612",2015,"Septiembre","CHIHUAHUA","548","0","0"
"6712",2015,"Septiembre","JALISCO","169","0","0"
"6911",2015,"Septiembre","NUEVO LEON","2157","1078","1221"
"706",2015,"Septiembre","PUEBLA","20","0","0"
"7114",2015,"Septiembre","QUINTANA ROO","3314","378","757"
"7213",2015,"Septiembre","SAN LUIS POTOSI","37971","0","0"
"7312",2015,"Septiembre","SONORA","25159","0","0"
"7412",2015,"Septiembre","TAMAULIPAS","124646","1482","3055"
"7511",2015,"Septiembre","VERACRUZ","10056","33","33"
"7610",2015,"Septiembre","YUCATAN","3851","0","0"
"1305",2015,"Septiembre","SINALOA","0","0","0"
"3153",2015,"Septiembre","NAYARIT","0","0","0"
"6314",2015,"Octubre","CAMPECHE","19220","0","0"
"6414",2015,"Octubre","COAHUILA","316","0","0"
"6514",2015,"Octubre","CHIAPAS","13323","396","945"
"6613",2015,"Octubre","CHIHUAHUA","548","20","44"
"6713",2015,"Octubre","JALISCO","169","0","0"
"6912",2015,"Octubre","NUEVO LEON","2169","1220","1348"
"707",2015,"Octubre","PUEBLA","20","0","0"
"7115",2015,"Octubre","QUINTANA ROO","3604","378","757"
"7214",2015,"Octubre","SAN LUIS POTOSI","37971","0","0"
"7313",2015,"Octubre","SONORA","25159","17481","43142"
"7413",2015,"Octubre","TAMAULIPAS","124717","1482","3055"
"7512",2015,"Octubre","VERACRUZ","10056","33","33"
"7611",2015,"Octubre","YUCATAN","4301","0","0"
"1355",2015,"Octubre","SINALOA","0","0","0"
"3167",2015,"Octubre","NAYARIT","0","0","0"
"6136",2015,"Noviembre","CAMPECHE","29352","0","0"
"6213",2015,"Noviembre","COAHUILA","316","100","60"
"6315",2015,"Noviembre","CHIAPAS","13323","12883","22225"
"6415",2015,"Noviembre","CHIHUAHUA","548","548","1505"
"6515",2015,"Noviembre","JALISCO","169","0","0"
"6714",2015,"Noviembre","NUEVO LEON","2169","1220","1348"
"6814",2015,"Noviembre","PUEBLA","20","0","0"
"6913",2015,"Noviembre","QUINTANA ROO","3604","378","757"
"708",2015,"Noviembre","SAN LUIS POTOSI","37971","3127","3738"
"7122",2015,"Noviembre","SONORA","25159","25159","64179"
"7215",2015,"Noviembre","TAMAULIPAS","124717","46151","36543"
"7314",2015,"Noviembre","VERACRUZ","10056","33","33"
"7414",2015,"Noviembre","YUCATAN","4301","0","0"
"1374",2015,"Noviembre","SINALOA","0","0","0"
"3181",2015,"Noviembre","NAYARIT","0","0","0"
"6145",2015,"Diciembre","CAMPECHE","29352","14042","23921"
"6214",2015,"Diciembre","COAHUILA","316","290","261"
"6316",2015,"Diciembre","CHIAPAS","13323","13323","23407"
"6416",2015,"Diciembre","CHIHUAHUA","548","548","1505"
"6516",2015,"Diciembre","JALISCO","169","0","0"
"6715",2015,"Diciembre","NUEVO LEON","2169","1448","1705"
"6815",2015,"Diciembre","PUEBLA","20","0","0"
"6914",2015,"Diciembre","QUINTANA ROO","3604","1378","2037"
"709",2015,"Diciembre","SAN LUIS POTOSI","37971","32242","53477"
"7129",2015,"Diciembre","SONORA","25159","25159","64179"
"7216",2015,"Diciembre","TAMAULIPAS","124717","107398","84736"
"7315",2015,"Diciembre","VERACRUZ","10056","5433","6513"
"7415",2015,"Diciembre","YUCATAN","4301","970","2030"
"1393",2015,"Diciembre","SINALOA","0","0","0"
"3195",2015,"Diciembre","NAYARIT","0","0","0"
"281",2016,"Enero","CHIAPAS","134","0","0"
"291",2016,"Enero","YUCATAN","1350","0","0"
"127",2016,"Enero","CAMPECHE","0","0","0"
"212",2016,"Enero","COAHUILA","0","0","0"
"312",2016,"Enero","CHIHUAHUA","0","0","0"
"411",2016,"Enero","NUEVO LEON","0","0","0"
"512",2016,"Enero","QUINTANA ROO","0","0","0"
"68",2016,"Enero","SAN LUIS POTOSI","0","0","0"
"76",2016,"Enero","SINALOA","0","0","0"
"810",2016,"Enero","SONORA","0","0","0"
"99",2016,"Enero","TAMAULIPAS","0","0","0"
"106",2016,"Enero","VERACRUZ","0","0","0"
"1111",2016,"Enero","JALISCO","0","0","0"
"1313",2016,"Enero","PUEBLA","0","0","0"
"157",2016,"Enero","NAYARIT","0","0","0"
"361",2016,"Febrero","CAMPECHE","36385","36355","94191"
"371",2016,"Febrero","COAHUILA","32","32","48"
"381",2016,"Febrero","CHIAPAS","12872","12872","22450"
"391",2016,"Febrero","CHIHUAHUA","29","29","83"
"40",2016,"Febrero","NUEVO LEON","1156","992","1474"
"4110",2016,"Febrero","QUINTANA ROO","2705","2705","3887"
"424",2016,"Febrero","SAN LUIS POTOSI","39210","39210","67028"
"431",2016,"Febrero","SINALOA","5319","5319","13298"
"442",2016,"Febrero","SONORA","52257","52257","117168"
"452",2016,"Febrero","TAMAULIPAS","110005","107874","147093"
"462",2016,"Febrero","VERACRUZ","13800","13800","28980"
"472",2016,"Febrero","YUCATAN","8208","8208","19426"
"187",2016,"Febrero","JALISCO","0","0","0"
"326",2016,"Febrero","PUEBLA","0","0","0"
"526",2016,"Febrero","NAYARIT","0","0","0"
"351",2016,"Marzo","CAMPECHE","36385","36355","94191"
"362",2016,"Marzo","COAHUILA","32","32","48"
"372",2016,"Marzo","CHIAPAS","12872","12872","22450"
"382",2016,"Marzo","CHIHUAHUA","29","29","83"
"392",2016,"Marzo","NUEVO LEON","1156","992","1474"
"401",2016,"Marzo","QUINTANA ROO","2705","2705","3887"
"4111",2016,"Marzo","SAN LUIS POTOSI","39210","39210","67028"
"4210",2016,"Marzo","SINALOA","5319","5319","13298"
"439",2016,"Marzo","SONORA","52257","52257","117168"
"443",2016,"Marzo","TAMAULIPAS","110005","107874","147093"
"453",2016,"Marzo","VERACRUZ","13800","13800","28980"
"463",2016,"Marzo","YUCATAN","8208","8208","19426"
"1118",2016,"Marzo","JALISCO","0","0","0"
"349",2016,"Marzo","PUEBLA","0","0","0"
"540",2016,"Marzo","NAYARIT","0","0","0"
"296",2016,"Abril","CHIAPAS","125","79","126"
"30",2016,"Abril","CHIHUAHUA","43","0","0"
"3110",2016,"Abril","NUEVO LEON","923","0","0"
"3210",2016,"Abril","SINALOA","9","0","0"
"3310",2016,"Abril","TAMAULIPAS","530","0","0"
"3410",2016,"Abril","YUCATAN","50","0","0"
"1146",2016,"Abril","CAMPECHE","0","0","0"
"297",2016,"Abril","COAHUILA","0","0","0"
"366",2016,"Abril","QUINTANA ROO","0","0","0"
"460",2016,"Abril","SAN LUIS POTOSI","0","0","0"
"557",2016,"Abril","SONORA","0","0","0"
"644",2016,"Abril","VERACRUZ","0","0","0"
"739",2016,"Abril","JALISCO","0","0","0"
"940",2016,"Abril","PUEBLA","0","0","0"
"1147",2016,"Abril","NAYARIT","0","0","0"
"3312",2016,"Mayo","CHIAPAS","125","125","249"
"3411",2016,"Mayo","CHIHUAHUA","269","0","0"
"3510",2016,"Mayo","NUEVO LEON","923","75","120"
"3610",2016,"Mayo","SINALOA","9","0","0"
"3710",2016,"Mayo","SONORA","12515","0","0"
"384",2016,"Mayo","TAMAULIPAS","530","0","0"
"393",2016,"Mayo","YUCATAN","50","0","0"
"1179",2016,"Mayo","CAMPECHE","0","0","0"
"2114",2016,"Mayo","COAHUILA","0","0","0"
"385",2016,"Mayo","QUINTANA ROO","0","0","0"
"479",2016,"Mayo","SAN LUIS POTOSI","0","0","0"
"572",2016,"Mayo","VERACRUZ","0","0","0"
"660",2016,"Mayo","JALISCO","0","0","0"
"848",2016,"Mayo","PUEBLA","0","0","0"
"1042",2016,"Mayo","NAYARIT","0","0","0"
"3412",2016,"Junio","CHIAPAS","125","125","249"
"3511",2016,"Junio","CHIHUAHUA","399","0","0"
"3611",2016,"Junio","NUEVO LEON","1108","75","120"
"3711",2016,"Junio","SAN LUIS POTOSI","1370","0","0"
"3810",2016,"Junio","SINALOA","9","0","0"
"3910",2016,"Junio","SONORA","37990","0","0"
"402",2016,"Junio","TAMAULIPAS","530","0","0"
"4112",2016,"Junio","YUCATAN","50","0","0"
"1208",2016,"Junio","CAMPECHE","0","0","0"
"2128",2016,"Junio","COAHUILA","0","0","0"
"3104",2016,"Junio","QUINTANA ROO","0","0","0"
"496",2016,"Junio","VERACRUZ","0","0","0"
"588",2016,"Junio","JALISCO","0","0","0"
"774",2016,"Junio","PUEBLA","0","0","0"
"977",2016,"Junio","NAYARIT","0","0","0"
"3712",2016,"Julio","CAMPECHE","2000","0","0"
"3811",2016,"Julio","CHIAPAS","12872","125","249"
"3911",2016,"Julio","CHIHUAHUA","573","0","0"
"403",2016,"Julio","NUEVO LEON","1136","75","120"
"4113",2016,"Julio","SAN LUIS POTOSI","22120","0","0"
"4211",2016,"Julio","SINALOA","9","0","0"
"4310",2016,"Julio","SONORA","52257","0","0"
"4410",2016,"Julio","TAMAULIPAS","72493","264","591"
"4510",2016,"Julio","VERACRUZ","5000","0","0"
"4610",2016,"Julio","YUCATAN","50","0","0"
"1273",2016,"Julio","COAHUILA","0","0","0"
"2143",2016,"Julio","QUINTANA ROO","0","0","0"
"3125",2016,"Julio","JALISCO","0","0","0"
"5103",2016,"Julio","PUEBLA","0","0","0"
"788",2016,"Julio","NAYARIT","0","0","0"
"3713",2016,"Agosto","CAMPECHE","23139","0","0"
"3812",2016,"Agosto","CHIAPAS","12872","125","249"
"3912",2016,"Agosto","CHIHUAHUA","188","0","0"
"404",2016,"Agosto","NUEVO LEON","1136","252","539"
"4126",2016,"Agosto","QUINTANA ROO","2665","0","0"
"4212",2016,"Agosto","SAN LUIS POTOSI","39210","0","0"
"4311",2016,"Agosto","SINALOA","5319","0","0"
"4411",2016,"Agosto","SONORA","52257","0","0"
"4511",2016,"Agosto","TAMAULIPAS","104815","530","1214"
"4611",2016,"Agosto","VERACRUZ","5000","0","0"
"4710",2016,"Agosto","YUCATAN","4840","0","0"
"1290",2016,"Agosto","COAHUILA","0","0","0"
"2164",2016,"Agosto","JALISCO","0","0","0"
"4127",2016,"Agosto","PUEBLA","0","0","0"
"6107",2016,"Agosto","NAYARIT","0","0","0"
"3714",2016,"Septiembre","CAMPECHE","36385","0","0"
"3813",2016,"Septiembre","COAHUILA","32","0","0"
"3913",2016,"Septiembre","CHIAPAS","12872","125","249"
"405",2016,"Septiembre","CHIHUAHUA","29","0","0"
"4140",2016,"Septiembre","NUEVO LEON","1156","836","1238"
"4213",2016,"Septiembre","QUINTANA ROO","2705","0","0"
"4312",2016,"Septiembre","SAN LUIS POTOSI","39210","0","0"
"4412",2016,"Septiembre","SINALOA","5319","0","0"
"4512",2016,"Septiembre","SONORA","52257","0","0"
"4612",2016,"Septiembre","TAMAULIPAS","110005","530","1214"
"4711",2016,"Septiembre","VERACRUZ","13800","0","0"
"4810",2016,"Septiembre","YUCATAN","8208","50","93"
"1306",2016,"Septiembre","JALISCO","0","0","0"
"3154",2016,"Septiembre","PUEBLA","0","0","0"
"5130",2016,"Septiembre","NAYARIT","0","0","0"
"3715",2016,"Octubre","CAMPECHE","36385","0","0"
"3814",2016,"Octubre","COAHUILA","32","32","48"
"3914",2016,"Octubre","CHIAPAS","12872","125","249"
"406",2016,"Octubre","CHIHUAHUA","29","0","0"
"4154",2016,"Octubre","NUEVO LEON","1156","944","1376"
"4214",2016,"Octubre","QUINTANA ROO","2705","0","0"
"4313",2016,"Octubre","SAN LUIS POTOSI","39210","0","0"
"4413",2016,"Octubre","SINALOA","5319","750","1522"
"4513",2016,"Octubre","SONORA","52257","15964","44865"
"4613",2016,"Octubre","TAMAULIPAS","110005","530","1214"
"4712",2016,"Octubre","VERACRUZ","13800","0","0"
"4811",2016,"Octubre","YUCATAN","8208","50","93"
"1356",2016,"Octubre","JALISCO","0","0","0"
"3168",2016,"Octubre","PUEBLA","0","0","0"
"5143",2016,"Octubre","NAYARIT","0","0","0"
"3512",2016,"Noviembre","CAMPECHE","36385","7781","20592"
"3612",2016,"Noviembre","COAHUILA","32","32","48"
"3716",2016,"Noviembre","CHIAPAS","12872","12646","21434"
"3815",2016,"Noviembre","CHIHUAHUA","29","29","83"
"3915",2016,"Noviembre","NUEVO LEON","1156","972","1432"
"407",2016,"Noviembre","QUINTANA ROO","2705","150","195"
"4168",2016,"Noviembre","SAN LUIS POTOSI","39210","18425","32226"
"4215",2016,"Noviembre","SINALOA","5319","5319","13298"
"4314",2016,"Noviembre","SONORA","52257","36857","81260"
"4414",2016,"Noviembre","TAMAULIPAS","110005","46811","61824"
"4514",2016,"Noviembre","VERACRUZ","13800","0","0"
"4614",2016,"Noviembre","YUCATAN","8208","445","994"
"1375",2016,"Noviembre","JALISCO","0","0","0"
"3182",2016,"Noviembre","PUEBLA","0","0","0"
"5156",2016,"Noviembre","NAYARIT","0","0","0"
"3513",2016,"Diciembre","CAMPECHE","36385","31617","77976"
"3613",2016,"Diciembre","COAHUILA","32","32","48"
"3717",2016,"Diciembre","CHIAPAS","12872","12872","22450"
"3816",2016,"Diciembre","CHIHUAHUA","29","29","83"
"3916",2016,"Diciembre","NUEVO LEON","1156","992","1474"
"408",2016,"Diciembre","QUINTANA ROO","2705","560","836"
"4182",2016,"Diciembre","SAN LUIS POTOSI","39210","34840","60362"
"4216",2016,"Diciembre","SINALOA","5319","5319","13298"
"4315",2016,"Diciembre","SONORA","52257","46375","102168"
"4415",2016,"Diciembre","TAMAULIPAS","110005","106103","144246"
"4515",2016,"Diciembre","VERACRUZ","13800","0","0"
"4615",2016,"Diciembre","YUCATAN","8208","2016","3531"
"1394",2016,"Diciembre","JALISCO","0","0","0"
"3196",2016,"Diciembre","PUEBLA","0","0","0"
"5169",2016,"Diciembre","NAYARIT","0","0","0"
"1112",2017,"Enero","CAMPECHE","500","0","0"
"1211",2017,"Enero","CHIAPAS","132","0","0"
"1314",2017,"Enero","YUCATAN","1500","0","0"
"147",2017,"Enero","COAHUILA","0","0","0"
"224",2017,"Enero","CHIHUAHUA","0","0","0"
"313",2017,"Enero","NUEVO LEON","0","0","0"
"412",2017,"Enero","QUINTANA ROO","0","0","0"
"513",2017,"Enero","SAN LUIS POTOSI","0","0","0"
"69",2017,"Enero","SINALOA","0","0","0"
"77",2017,"Enero","SONORA","0","0","0"
"811",2017,"Enero","TAMAULIPAS","0","0","0"
"910",2017,"Enero","VERACRUZ","0","0","0"
"107",2017,"Enero","JALISCO","0","0","0"
"1212",2017,"Enero","PUEBLA","0","0","0"
"148",2017,"Enero","NAYARIT","0","0","0"
"1012",2017,"Febrero","CAMPECHE","40020","40020","94843"
"1115",2017,"Febrero","COAHUILA","76","76","115"
"1214",2017,"Febrero","CHIAPAS","12902","12902","24049"
"1316",2017,"Febrero","CHIHUAHUA","231","231","742"
"1410",2017,"Febrero","NUEVO LEON","1600","1330","1625"
"1510",2017,"Febrero","QUINTANA ROO","3200","3050","6216"
"1610",2017,"Febrero","SAN LUIS POTOSI","41825","41825","71958"
"1710",2017,"Febrero","SINALOA","13119","13119","30181"
"188",2017,"Febrero","SONORA","9767","8016","19614"
"191",2017,"Febrero","TAMAULIPAS","118700","118124","147785"
"20",2017,"Febrero","VERACRUZ","15600","14515","17708"
"2110",2017,"Febrero","YUCATAN","9634","9569","17804"
"189",2017,"Febrero","JALISCO","0","0","0"
"327",2017,"Febrero","PUEBLA","0","0","0"
"527",2017,"Febrero","NAYARIT","0","0","0"
"920",2017,"Marzo","CAMPECHE","40020","40020","94843"
"1016",2017,"Marzo","COAHUILA","76","76","115"
"1119",2017,"Marzo","CHIAPAS","12902","12902","24049"
"1216",2017,"Marzo","CHIHUAHUA","231","231","742"
"1317",2017,"Marzo","NUEVO LEON","1600","1330","1625"
"1414",2017,"Marzo","QUINTANA ROO","3200","3050","6216"
"1512",2017,"Marzo","SAN LUIS POTOSI","41825","41825","71958"
"1611",2017,"Marzo","SINALOA","13119","13119","30181"
"1713",2017,"Marzo","SONORA","9767","8016","19649"
"1810",2017,"Marzo","TAMAULIPAS","118700","118124","147785"
"1910",2017,"Marzo","VERACRUZ","15600","14515","17708"
"201",2017,"Marzo","YUCATAN","9634","9569","17804"
"1120",2017,"Marzo","JALISCO","0","0","0"
"350",2017,"Marzo","PUEBLA","0","0","0"
"542",2017,"Marzo","NAYARIT","0","0","0"
"944",2017,"Abril","CAMPECHE","70","0","0"
"1030",2017,"Abril","CHIAPAS","134","78","115"
"1148",2017,"Abril","NUEVO LEON","1600","0","0"
"1229",2017,"Abril","SINALOA","65","0","0"
"1328",2017,"Abril","TAMAULIPAS","792","0","0"
"1423",2017,"Abril","YUCATAN","2230","0","0"
"1149",2017,"Abril","COAHUILA","0","0","0"
"298",2017,"Abril","CHIHUAHUA","0","0","0"
"367",2017,"Abril","QUINTANA ROO","0","0","0"
"464",2017,"Abril","SAN LUIS POTOSI","0","0","0"
"558",2017,"Abril","SONORA","0","0","0"
"645",2017,"Abril","VERACRUZ","0","0","0"
"740",2017,"Abril","JALISCO","0","0","0"
"9111",2017,"Abril","PUEBLA","0","0","0"
"11111",2017,"Abril","NAYARIT","0","0","0"
"1180",2017,"Mayo","CAMPECHE","70","0","0"
"1243",2017,"Mayo","CHIAPAS","134","134","258"
"1337",2017,"Mayo","CHIHUAHUA","147","0","0"
"1429",2017,"Mayo","NUEVO LEON","1600","0","0"
"1517",2017,"Mayo","SINALOA","434","0","0"
"1613",2017,"Mayo","SONORA","9111","0","0"
"1715",2017,"Mayo","TAMAULIPAS","792","0","0"
"1811",2017,"Mayo","YUCATAN","2230","0","0"
"1184",2017,"Mayo","COAHUILA","0","0","0"
"2115",2017,"Mayo","QUINTANA ROO","0","0","0"
"386",2017,"Mayo","SAN LUIS POTOSI","0","0","0"
"480",2017,"Mayo","VERACRUZ","0","0","0"
"573",2017,"Mayo","JALISCO","0","0","0"
"759",2017,"Mayo","PUEBLA","0","0","0"
"960",2017,"Mayo","NAYARIT","0","0","0"
"11101",2017,"Junio","CAMPECHE","290","0","0"
"1250",2017,"Junio","COAHUILA","76","0","0"
"1340",2017,"Junio","CHIAPAS","134","134","258"
"1434",2017,"Junio","CHIHUAHUA","199","0","0"
"1518",2017,"Junio","NUEVO LEON","1600","0","0"
"1614",2017,"Junio","SINALOA","12904","0","0"
"1716",2017,"Junio","SONORA","9380","0","0"
"1812",2017,"Junio","TAMAULIPAS","792","0","0"
"1912",2017,"Junio","YUCATAN","2230","2230","4170"
"1209",2017,"Junio","QUINTANA ROO","0","0","0"
"2129",2017,"Junio","SAN LUIS POTOSI","0","0","0"
"3105",2017,"Junio","VERACRUZ","0","0","0"
"497",2017,"Junio","JALISCO","0","0","0"
"679",2017,"Junio","PUEBLA","0","0","0"
"863",2017,"Junio","NAYARIT","0","0","0"
"11105",2017,"Julio","CAMPECHE","9390","70","84"
"1274",2017,"Julio","COAHUILA","76","0","0"
"1341",2017,"Julio","CHIAPAS","12870","134","258"
"1436",2017,"Julio","CHIHUAHUA","199","0","0"
"1519",2017,"Julio","NUEVO LEON","1600","0","0"
"1616",2017,"Julio","QUINTANA ROO","2405","0","0"
"1717",2017,"Julio","SAN LUIS POTOSI","31265","0","0"
"1813",2017,"Julio","SINALOA","13119","0","0"
"1913",2017,"Julio","SONORA","9767","0","0"
"2010",2017,"Julio","TAMAULIPAS","50606","572","1142"
"2144",2017,"Julio","VERACRUZ","7580","0","0"
"2210",2017,"Julio","YUCATAN","4420","2230","4170"
"1275",2017,"Julio","JALISCO","0","0","0"
"3126",2017,"Julio","PUEBLA","0","0","0"
"5104",2017,"Julio","NAYARIT","0","0","0"
"11109",2017,"Agosto","CAMPECHE","29980","70","84"
"1292",2017,"Agosto","COAHUILA","76","0","0"
"1342",2017,"Agosto","CHIAPAS","12902","134","258"
"1438",2017,"Agosto","CHIHUAHUA","231","0","0"
"1520",2017,"Agosto","NUEVO LEON","1600","1042","1360"
"1617",2017,"Agosto","QUINTANA ROO","2975","0","0"
"1719",2017,"Agosto","SAN LUIS POTOSI","41825","0","0"
"1814",2017,"Agosto","SINALOA","13119","0","0"
"1915",2017,"Agosto","SONORA","9767","0","0"
"2011",2017,"Agosto","TAMAULIPAS","118199","792","1686"
"2165",2017,"Agosto","VERACRUZ","11000","0","0"
"2216",2017,"Agosto","YUCATAN","6484","2230","4170"
"1293",2017,"Agosto","JALISCO","0","0","0"
"3141",2017,"Agosto","PUEBLA","0","0","0"
"5118",2017,"Agosto","NAYARIT","0","0","0"
"11114",2017,"Septiembre","CAMPECHE","40020","70","84"
"12100",2017,"Septiembre","COAHUILA","76","0","0"
"1343",2017,"Septiembre","CHIAPAS","12902","134","258"
"1440",2017,"Septiembre","CHIHUAHUA","231","0","0"
"1522",2017,"Septiembre","NUEVO LEON","1600","1157","1400"
"1618",2017,"Septiembre","QUINTANA ROO","3200","0","0"
"1720",2017,"Septiembre","SAN LUIS POTOSI","41825","0","0"
"1815",2017,"Septiembre","SINALOA","13119","0","0"
"1916",2017,"Septiembre","SONORA","9767","0","0"
"2013",2017,"Septiembre","TAMAULIPAS","118700","792","1686"
"2188",2017,"Septiembre","VERACRUZ","15600","0","0"
"2218",2017,"Septiembre","YUCATAN","9634","2230","4170"
"1307",2017,"Septiembre","JALISCO","0","0","0"
"3155",2017,"Septiembre","PUEBLA","0","0","0"
"5131",2017,"Septiembre","NAYARIT","0","0","0"
"11116",2017,"Octubre","CAMPECHE","40020","70","84"
"12101",2017,"Octubre","COAHUILA","76","25","38"
"1357",2017,"Octubre","CHIAPAS","12902","134","258"
"1449",2017,"Octubre","CHIHUAHUA","231","0","0"
"1524",2017,"Octubre","NUEVO LEON","1600","1267","1554"
"1619",2017,"Octubre","QUINTANA ROO","3200","0","0"
"1727",2017,"Octubre","SAN LUIS POTOSI","41825","0","0"
"1816",2017,"Octubre","SINALOA","13119","13112","30167"
"1917",2017,"Octubre","SONORA","9767","6682","16759"
"2015",2017,"Octubre","TAMAULIPAS","118700","792","1686"
"21100",2017,"Octubre","VERACRUZ","15600","0","0"
"2229",2017,"Octubre","YUCATAN","9634","2980","5820"
"1358",2017,"Octubre","JALISCO","0","0","0"
"3169",2017,"Octubre","PUEBLA","0","0","0"
"5144",2017,"Octubre","NAYARIT","0","0","0"
"9104",2017,"Noviembre","CAMPECHE","40020","12236","30112"
"1073",2017,"Noviembre","COAHUILA","76","76","115"
"11118",2017,"Noviembre","CHIAPAS","12902","10894","19455"
"12102",2017,"Noviembre","CHIHUAHUA","231","231","742"
"1376",2017,"Noviembre","NUEVO LEON","1600","1267","1554"
"1450",2017,"Noviembre","QUINTANA ROO","3200","950","1813"
"1525",2017,"Noviembre","SAN LUIS POTOSI","41825","17500","31196"
"1620",2017,"Noviembre","SINALOA","13119","13112","30167"
"1729",2017,"Noviembre","SONORA","9767","8016","19614"
"1817",2017,"Noviembre","TAMAULIPAS","118700","46475","76953"
"1919",2017,"Noviembre","VERACRUZ","15600","0","0"
"2016",2017,"Noviembre","YUCATAN","9634","3888","7727"
"1377",2017,"Noviembre","JALISCO","0","0","0"
"3183",2017,"Noviembre","PUEBLA","0","0","0"
"5157",2017,"Noviembre","NAYARIT","0","0","0"
"9108",2017,"Diciembre","CAMPECHE","40020","29765","70087"
"1077",2017,"Diciembre","COAHUILA","76","76","115"
"11120",2017,"Diciembre","CHIAPAS","12902","12902","24049"
"12103",2017,"Diciembre","CHIHUAHUA","231","231","742"
"1395",2017,"Diciembre","NUEVO LEON","1600","1330","1625"
"1460",2017,"Diciembre","QUINTANA ROO","3200","3050","6216"
"1526",2017,"Diciembre","SAN LUIS POTOSI","41825","41469","71389"
"1623",2017,"Diciembre","SINALOA","13119","13119","30181"
"1730",2017,"Diciembre","SONORA","9767","8016","19614"
"1818",2017,"Diciembre","TAMAULIPAS","118700","117286","146892"
"1920",2017,"Diciembre","VERACRUZ","15600","0","0"
"2017",2017,"Diciembre","YUCATAN","9634","7117","14706"
"1396",2017,"Diciembre","JALISCO","0","0","0"
"3197",2017,"Diciembre","PUEBLA","0","0","0"
"5170",2017,"Diciembre","NAYARIT","0","0","0"
